,Circuit,Succesful Attempts,Failed Attempts,Success Rate,SSE,Shots Taken,Runtime,Guess of a,One qubit error Prob,Two qubit error Prob,Readout error Prob,T1,T2
0,Optimal Circuit,75183,24817,0.75183,0.0,100000,00:00:00.638,2,0.0,0.0,0.0,0.0,0.0
1,Guadalupe Circuit,72829,27171,0.72829,77.77857000000002,100000,00:01:33.052,2,-1.0,-1.0,-1.0,-1.0,-1.0
2,Combined error Circuit,74104,25896,0.74104,26.360764999999983,100000,00:01:54.461,2,5.9625e-05,0.00209225,0.0043625,24.41,27.7925
3,One-qubit errors only Circuit,74962,25038,0.74962,0.3552875000000051,100000,00:01:44.875,2,5.9625e-05,0.0,0.0,0.0,0.0
4,Two-qubit errors only Circuit,74568,25432,0.74568,10.433525000000001,100000,00:01:53.574,2,0.0,0.00209225,0.0,0.0,0.0
5,Readout errors only Circuit,74419,25581,0.74419,4.6111950000000075,100000,00:00:01.019,2,0.0,0.0,0.0043625,0.0,0.0
6,Thermal Relaxation errors only Circuit,75123,24877,0.75123,0.09058500000000283,100000,00:00:00.326,2,0.0,0.0,0.0,24.41,27.7925
7,One-qubit and two-qubit errors Circuit,74442,25558,0.74442,10.603572500000002,100000,00:01:57.754,2,5.9625e-05,0.00209225,0.0,0.0,0.0
8,One-qubit errors and readout error Circuit,74445,25555,0.74445,5.042915000000001,100000,00:01:40.540,2,5.9625e-05,0.0,0.0043625,0.0,0.0
9,Two-qubit errors and readout error Circuit,74073,25927,0.74073,26.108089999999997,100000,00:01:53.640,2,0.0,0.00209225,0.0043625,0.0,0.0
10,One-qubit errors and thermal relaxation error Circuit,75091,24909,0.75091,0.26133000000000506,100000,00:01:39.422,2,5.9625e-05,0.0,0.0,24.41,27.7925
11,Two-qubit errors and thermal relaxation error Circuit,74644,25356,0.74644,10.287052499999998,100000,00:01:53.908,2,0.0,0.00209225,0.0,24.41,27.7925
12,Readout error and thermal relaxation error Circuit,74605,25395,0.74605,4.346235000000003,100000,00:00:00.546,2,0.0,0.0,0.0043625,24.41,27.7925
13,"One-qubit errors, two-qubit errors and readout error Circuit",74190,25810,0.7419,26.797529999999977,100000,00:01:54.840,2,5.9625e-05,0.00209225,0.0043625,0.0,0.0
14,"One-qubit errors, two-qubit errors and thermal relaxation error Circuit",74620,25380,0.7462,10.549932500000015,100000,00:01:57.177,2,5.9625e-05,0.00209225,0.0,24.41,27.7925
15,"One-qubit errors, readout error and thermal relaxation error Circuit",74789,25211,0.74789,4.3058075,100000,00:01:40.717,2,5.9625e-05,0.0,0.0043625,24.41,27.7925
16,"Two-qubit errors, readout error and thermal relaxation error Circuit",74206,25794,0.74206,26.5367325,100000,00:01:53.775,2,0.0,0.00209225,0.0043625,24.41,27.7925
17,Optimal Circuit,0,100000,0.0,0.0,100000,00:00:00.228,4,0.0,0.0,0.0,0.0,0.0
18,Guadalupe Circuit,3599,96401,0.03599,1932.378009999999,100000,00:00:00.604,4,-1.0,-1.0,-1.0,-1.0,-1.0
19,Combined error Circuit,2425,97575,0.02425,674.3694399999996,100000,00:00:00.511,4,5.9625e-05,0.00209225,0.0043625,24.41,27.7925
20,One-qubit errors only Circuit,19,99981,0.00019,0.02304000000000345,100000,00:00:00.411,4,5.9625e-05,0.0,0.0,0.0,0.0
21,Two-qubit errors only Circuit,1576,98424,0.01576,247.5062499999996,100000,00:00:00.828,4,0.0,0.00209225,0.0,0.0,0.0
22,Readout errors only Circuit,819,99181,0.00819,114.37923999999974,100000,00:00:00.832,4,0.0,0.0,0.0043625,0.0,0.0
23,Thermal Relaxation errors only Circuit,0,100000,0.0,0.0,100000,00:00:00.424,4,0.0,0.0,0.0,24.41,27.7925
24,One-qubit and two-qubit errors Circuit,1524,98476,0.01524,240.68835999999993,100000,00:00:00.586,4,5.9625e-05,0.00209225,0.0,0.0,0.0
25,One-qubit errors and readout error Circuit,846,99154,0.00846,120.54783999999981,100000,00:00:00.530,4,5.9625e-05,0.0,0.0043625,0.0,0.0
26,Two-qubit errors and readout error Circuit,2462,97538,0.02462,677.8228900000003,100000,00:00:00.541,4,0.0,0.00209225,0.0043625,0.0,0.0
27,One-qubit errors and thermal relaxation error Circuit,15,99985,0.00015,0.02703999999999635,100000,00:00:00.250,4,5.9625e-05,0.0,0.0,24.41,27.7925
28,Two-qubit errors and thermal relaxation error Circuit,1576,98424,0.01576,233.0958399999999,100000,00:00:00.307,4,0.0,0.00209225,0.0,24.41,27.7925
29,Readout error and thermal relaxation error Circuit,860,99140,0.0086,113.70383999999981,100000,00:00:00.434,4,0.0,0.0,0.0043625,24.41,27.7925
30,"One-qubit errors, two-qubit errors and readout error Circuit",2481,97519,0.02481,689.3980900000008,100000,00:00:00.533,4,5.9625e-05,0.00209225,0.0043625,0.0,0.0
31,"One-qubit errors, two-qubit errors and thermal relaxation error Circuit",1595,98405,0.01595,247.70528999999982,100000,00:00:00.308,4,5.9625e-05,0.00209225,0.0,24.41,27.7925
32,"One-qubit errors, readout error and thermal relaxation error Circuit",907,99093,0.00907,120.33960999999998,100000,00:00:00.455,4,5.9625e-05,0.0,0.0043625,24.41,27.7925
33,"Two-qubit errors, readout error and thermal relaxation error Circuit",2467,97533,0.02467,674.8622499999991,100000,00:00:00.521,4,0.0,0.00209225,0.0043625,24.41,27.7925
34,Optimal Circuit,74916,25084,0.74916,0.0,100000,00:00:00.409,7,0.0,0.0,0.0,0.0,0.0
35,Guadalupe Circuit,74345,25655,0.74345,1283.5258425,100000,00:04:09.088,7,-1.0,-1.0,-1.0,-1.0,-1.0
36,Combined error Circuit,74089,25911,0.74089,27.603132500000008,100000,00:02:47.753,7,5.9625e-05,0.00209225,0.0043625,24.41,27.7925
37,One-qubit errors only Circuit,74878,25122,0.74878,0.24312500000000326,100000,00:02:30.683,7,5.9625e-05,0.0,0.0,0.0,0.0
38,Two-qubit errors only Circuit,74281,25719,0.74281,10.660114999999998,100000,00:02:45.165,7,0.0,0.00209225,0.0,0.0,0.0
39,Readout errors only Circuit,74574,25426,0.74574,4.211907500000002,100000,00:00:01.022,7,0.0,0.0,0.0043625,0.0,0.0
40,Thermal Relaxation errors only Circuit,74946,25054,0.74946,0.05730500000000184,100000,00:00:00.667,7,0.0,0.0,0.0,24.41,27.7925
41,One-qubit and two-qubit errors Circuit,74398,25602,0.74398,10.797247500000015,100000,00:02:45.201,7,5.9625e-05,0.00209225,0.0,0.0,0.0
42,One-qubit errors and readout error Circuit,74387,25613,0.74387,4.774122500000013,100000,00:02:30.531,7,5.9625e-05,0.0,0.0043625,0.0,0.0
43,Two-qubit errors and readout error Circuit,73990,26010,0.7399,26.131522499999996,100000,00:02:47.225,7,0.0,0.00209225,0.0043625,0.0,0.0
44,One-qubit errors and thermal relaxation error Circuit,74909,25091,0.74909,0.1503149999999993,100000,00:02:31.018,7,5.9625e-05,0.0,0.0,24.41,27.7925
45,Two-qubit errors and thermal relaxation error Circuit,74606,25394,0.74606,10.538262500000009,100000,00:02:45.328,7,0.0,0.00209225,0.0,24.41,27.7925
46,Readout error and thermal relaxation error Circuit,74595,25405,0.74595,4.8139575000000026,100000,00:00:00.623,7,0.0,0.0,0.0043625,24.41,27.7925
47,"One-qubit errors, two-qubit errors and readout error Circuit",73984,26016,0.73984,28.187774999999995,100000,00:02:47.957,7,5.9625e-05,0.00209225,0.0043625,0.0,0.0
48,"One-qubit errors, two-qubit errors and thermal relaxation error Circuit",74670,25330,0.7467,10.507694999999995,100000,00:02:45.366,7,5.9625e-05,0.00209225,0.0,24.41,27.7925
49,"One-qubit errors, readout error and thermal relaxation error Circuit",74708,25292,0.74708,4.756435000000007,100000,00:02:31.031,7,5.9625e-05,0.0,0.0043625,24.41,27.7925
50,"Two-qubit errors, readout error and thermal relaxation error Circuit",74047,25953,0.74047,26.64615000000001,100000,00:02:47.786,7,0.0,0.00209225,0.0043625,24.41,27.7925
